category,url
Despensa,https://www.tiendasjumbo.co/supermercado/despensa?PS=20
Pescados y Mariscos,https://www.tiendasjumbo.co/supermercado/pescados-y-mariscos?PS=20
Frutas y Verduras,https://www.tiendasjumbo.co/supermercado/frutas-y-verduras?PS=20
Carne y pollo,https://www.tiendasjumbo.co/supermercado/carne-y-pollo?PS=20
Bebidas,https://www.tiendasjumbo.co/supermercado/bebidas?PS=20
Panader�a y Pasteler�a,https://www.tiendasjumbo.co/supermercado/panaderia-y-pasteleria?PS=20
Charcuter�a,https://www.tiendasjumbo.co/supermercado/charcuteria?PS=20
Vinos y Licores,https://www.tiendasjumbo.co/supermercado/vinos-y-licores?PS=20
Aseo de hogar,https://www.tiendasjumbo.co/supermercado/aseo-de-hogar?PS=20
Cuidado Personal,https://www.tiendasjumbo.co/supermercado/cuidado-personal?PS=20
Dulces y postres,https://www.tiendasjumbo.co/supermercado/dulces-y-postres?PS=20
Platos Preparados,https://www.tiendasjumbo.co/supermercado/platos-preparados?PS=20
Productos Congelados,https://www.tiendasjumbo.co/supermercado/productos-congelados?PS=20
Cigarrillos y Tabacos,https://www.tiendasjumbo.co/supermercado/cigarrillos-y-tabacos?PS=20
Cuidado del beb�s,https://www.tiendasjumbo.co/supermercado/cuidado-del-bebe?PS=20
Belleza,https://www.tiendasjumbo.co/supermercado/belleza?PS=20
L�cteos, huevos y refrigerados,https://www.tiendasjumbo.co/supermercado/lacteos-huevos-y-refrigerados?PS=20
Pasabocas,https://www.tiendasjumbo.co/supermercado/pasabocas?PS=20
Cuidado de ropa y calzado,https://www.tiendasjumbo.co/supermercado/cuidado-de-ropa-y-calzado?PS=20
Limpieza de cocina,https://www.tiendasjumbo.co/supermercado/limpieza-de-cocina?PS=20
Mascotas,https://www.tiendasjumbo.co/supermercado/mascotas?PS=20
Bolsas,https://www.tiendasjumbo.co/supermercado/bolsas?PS=20